Region of Incident,Reported Year,Reported Month,Number Dead,Minimum Estimated Number of Missing,Total Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death,Location Description,Location Coordinates,Migration Route
US-Mexico Border,2019,Feb,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","32.331803200000, -112.524509300000",Unknown
Mediterranean,2019,Feb,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Drowning,Libya,"32.795883457110, 12.734512549273",Central Mediterranean
North Africa,2019,Feb,2.0,Unknown,2,Unknown,2.0,Unknown,Unknown,Unknown,Morocco,"35.143072914540, -2.987014300369",Unknown
US-Mexico Border,2019,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,"Texas, USA","28.718723271107, -100.506647433010",Unknown
US-Mexico Border,2019,Feb,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","32.331803200000, -112.524509300000",Unknown
US-Mexico Border,2019,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,"California, USA","32.563023500000, -116.940790500000",Unknown
US-Mexico Border,2019,Feb,2.0,Unknown,2,Unknown,Unknown,Unknown,Unknown,Unknown,"Texas, USA","27.131022830084, -98.053451252909",Unknown
Mediterranean,2019,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Spain,"36.004694276199, -5.509231863325",Western Mediterranean
Middle East,2019,Feb,3.0,Unknown,3,Unknown,3.0,Unknown,Unknown,Drowning,Turkey,"36.919584700000, 37.034761500000",Unknown
US-Mexico Border,2019,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,"California, USA","32.705996627134, -115.159694515790",Unknown
Central America,2019,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Cardiac arrest,Guatemala,"14.676488505722, -92.146375389048",Unknown
US-Mexico Border,2019,Feb,1.0,Unknown,1,2.0,1.0,Unknown,Unknown,Accident,Mexico,"32.542375795428, -116.999537459500",Unknown
US-Mexico Border,2019,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Arizona, USA","32.057499000000, -111.666072500000",Unknown
US-Mexico Border,2019,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Arizona, USA","32.057499000000, -111.666072500000",Unknown
Central America,2019,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Mexico,"22.164571000000, -100.938266000000",Unknown
Middle East,2019,Feb,2.0,Unknown,2,Unknown,Unknown,2.0,Unknown,Drowning,Greece,"41.135599001556, 26.326539051871",Unknown
US-Mexico Border,2019,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Texas, USA","26.982280497005, -98.267379508161",Unknown
US-Mexico Border,2019,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,"Texas, USA","28.700360570000, -100.510757707230",Unknown
Mediterranean,2019,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,1.0,Unknown,Spain,"35.893361197022, -5.320987701416",Western Mediterranean
Mediterranean,2019,Feb,3.0,Unknown,3,Unknown,Unknown,Unknown,Unknown,Drowning,Libya,"31.207914877621, 16.508365236703",Central Mediterranean
US-Mexico Border,2019,Feb,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Texas, USA","27.040028051146, -98.103990938813",Unknown
US-Mexico Border,2019,Feb,Unknown,1.0,1,1.0,Unknown,1.0,Unknown,Drowning,Mexico,"26.094483422113, -98.270738236367",Unknown
Central America,2019,Feb,1.0,Unknown,1,7.0,Unknown,1.0,Unknown,Accident,Mexico,"19.984811631957, -101.150053343960",Unknown
Mediterranean,2019,Feb,Unknown,1.0,1,Unknown,1.0,Unknown,1.0,Drowning,"Lesvos, Greece","39.417612220935, 26.393699500607",Eastern Mediterranean
US-Mexico Border,2019,Feb,1.0,Unknown,1,Unknown,1.0,Unknown,Unknown,Unknown,"Texas, USA","27.025620837846, -98.163042452485",Unknown
Mediterranean,2019,Feb,Unknown,3.0,3,9.0,Unknown,Unknown,Unknown,Drowning,Morocco,"35.876466418300, -5.812712909613",Western Mediterranean
Mediterranean,2019,Feb,2.0,3.0,5,13.0,Unknown,Unknown,Unknown,Drowning,Algeria,"35.850585778575, -0.543309022656",Western Mediterranean
Europe,2019,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Weather conditions,France,"44.920683173838, 6.673599624343",Italy to France
US-Mexico Border,2019,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Mexico,"26.365378242149, -98.813139596667",Unknown
Central America,2019,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Murdered,Mexico,"25.463711663602, -100.979898450230",Unknown
Mediterranean,2019,Feb,1.0,2.0,3,42.0,Unknown,Unknown,Unknown,Drowning,Morocco,"35.866177998708, -5.878967760331",Western Mediterranean
Mediterranean,2019,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,1.0,Drowning,Algeria,"36.902592327412, 8.477123270827",Central Mediterranean
North Africa,2019,Feb,3.0,Unknown,3,25.0,2.0,1.0,Unknown,Accident,Morocco,"34.960378300119, -3.380756396653",Unknown
North Africa,2019,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Weather conditions,Algeria,"34.705746117811, -1.775936609354",Unknown
