Region of Incident,Reported Year,Reported Month,Number Dead,Minimum Estimated Number of Missing,Total Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death,Location Description,Location Coordinates,Migration Route
Sub-Saharan Africa,2018,Sep,2.0,Unknown,2,Unknown,Unknown,2.0,Unknown,Accident,Mali,"11.316667000000, -5.666667000000",Unknown
Central America,2018,Sep,2.0,Unknown,2,Unknown,Unknown,Unknown,Unknown,Murdered,Mexico,"17.996554923197, -95.414854964648",Unknown
Central America,2018,Sep,1.0,Unknown,1,Unknown,1.0,Unknown,Unknown,Murdered,Mexico,"25.731155452389, -100.539507605470",Unknown
Southeast Asia,2018,Sep,1.0,Unknown,1,Unknown,1.0,Unknown,1.0,Weather conditions,Myanmar,"2.028723000000, 93.521504000000",Unknown
North Africa,2018,Sep,2.0,Unknown,2,Unknown,2.0,Unknown,1.0,Murdered,"Sahara desert, Sudan","21.943709000000, 27.672666000000",Unknown
North Africa,2018,Sep,2.0,Unknown,2,Unknown,Unknown,2.0,Unknown,Accident,"Sahara desert, Libya","21.143170000000, 23.823002000000",Unknown
Sub-Saharan Africa,2018,Sep,6.0,Unknown,6,Unknown,1.0,1.0,Unknown,Accident,Niger,"18.617049000000, 15.752160000000",Unknown
Middle East,2018,Sep,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Murdered,Syria,"35.940562500000, 36.189187500000",Unknown
North Africa,2018,Sep,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Murdered,"Sahara desert, Sudan","18.074280000000, 34.434549000000",Unknown
Mediterranean,2018,Sep,5.0,Unknown,5,53.0,1.0,4.0,Unknown,Drowning,Spain,"35.613574869223, -3.107125232813",Western Mediterranean
Mediterranean,2018,Sep,Unknown,6.0,6,52.0,Unknown,Unknown,Unknown,Drowning,Spain,"35.613805720401, -3.880978481250",Western Mediterranean
US-Mexico Border,2018,Sep,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Arizona, USA","32.057701900000, -112.143021500000",Central America to US
Mediterranean,2018,Sep,Unknown,5.0,5,30.0,Unknown,Unknown,Unknown,Drowning,Spain,"35.876619034558, -3.354317615625",Western Mediterranean
US-Mexico Border,2018,Sep,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Dehydration,"Texas, USA","27.622868783483, -99.356489888281",Central America to US
Mediterranean,2018,Sep,Unknown,61.0,61,Unknown,1.0,1.0,Unknown,Drowning,Spain,"35.752123340697, -4.375363246875",Western Mediterranean
US-Mexico Border,2018,Sep,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Texas, USA","26.883280977966, -97.855127623242",Central America to US
Mediterranean,2018,Sep,2.0,128.0,130,55.0,1.0,1.0,20.0,Drowning,Libya,"32.724921395263, 14.348923069922",Central Mediterranean
US-Mexico Border,2018,Sep,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Texas, USA","30.567538988812, -103.987322443550",Unknown
US-Mexico Border,2018,Aug,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,"Texas, USA","26.065587500000, -98.166589500000",Central America to US
US-Mexico Border,2018,Aug,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,"Texas, USA","28.698480107631, -100.510242529640",Central America to US
Horn of Africa,2018,Aug,33.0,Unknown,33,326.0,11.0,22.0,Unknown,Drowning,Yemen,"13.928812408127, 48.993845334375",Horn Africa to Yemen
US-Mexico Border,2018,Aug,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Dehydration,"Texas, USA","28.004407539922, -99.567097186816",Central America to US
US-Mexico Border,2018,Aug,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Arizona, USA","32.057701900000, -112.143021500000",Central America to US
Mediterranean,2018,Aug,13.0,39.0,52,Unknown,6.0,Unknown,Unknown,Drowning,Algeria,"35.173443204721, -2.208013621094",Western Mediterranean
Horn of Africa,2018,Aug,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Starvation,Ethiopia,"11.719698000000, 41.838791000000",Unknown
North Africa,2018,Aug,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,"Sahara desert, Libya","21.143170000000, 23.823002000000",Unknown
US-Mexico Border,2018,Aug,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Texas, USA","27.209042291842, -98.672858435937",Central America to US
US-Mexico Border,2018,Aug,2.0,Unknown,2,Unknown,Unknown,2.0,Unknown,Drowning,"Texas, USA","31.661041531089, -106.256308555600",Central America to US
US-Mexico Border,2018,Aug,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Texas, USA","29.226621585441, -100.363238881250",Central America to US
North Africa,2018,Aug,1.0,Unknown,1,Unknown,1.0,Unknown,Unknown,Murdered,"Sahara desert, Sudan","19.635357000000, 27.103538000000",Unknown
Horn of Africa,2018,Aug,2.0,Unknown,2,Unknown,Unknown,2.0,Unknown,Murdered,Ethiopia,"9.322813000000, 42.787821000000",Unknown
US-Mexico Border,2018,Aug,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Dehydration,"Texas, USA","27.230363790235, -98.193377309015",Central America to US
US-Mexico Border,2018,Aug,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","32.057701900000, -112.143021500000",Central America to US
Central America,2018,Aug,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Mexico,"18.013663192839, -94.670495381476",Unknown
US-Mexico Border,2018,Aug,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Texas, USA","27.777139204350, -98.712549980078",Central America to US
Middle East,2018,Aug,2.0,Unknown,2,Unknown,1.0,Unknown,1.0,Murdered,Syria,"36.143562500000, 36.385937500000",Unknown
North Africa,2018,Aug,1.0,Unknown,1,Unknown,1.0,Unknown,Unknown,Accident,"Sahara desert, Sudan","22.396611000000, 26.693147000000",Unknown
Central America,2018,Aug,2.0,Unknown,2,5.0,1.0,1.0,1.0,Accident,Mexico,"25.476931063531, -102.172678989800",Unknown
US-Mexico Border,2018,Aug,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Weather conditions,"California, USA","32.525251011768, -116.213988199970",Central America to US
North Africa,2018,Aug,2.0,Unknown,2,Unknown,1.0,1.0,Unknown,Dehydration,"Sahara desert, Libya","25.562181000000, 14.257533000000",Unknown
North Africa,2018,Aug,1.0,Unknown,1,Unknown,1.0,Unknown,Unknown,Sickness and lack of access to medicines,Libya,"27.004996000000, 14.411008000000",Unknown
Mediterranean,2018,Aug,1.0,1.0,2,Unknown,Unknown,1.0,Unknown,Drowning,Spain,"35.948636914561, -3.036400745508",Western Mediterranean
US-Mexico Border,2018,Aug,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Mexico,"26.202446800000, -98.447132200000",Central America to US
US-Mexico Border,2018,Aug,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Texas, USA","26.263280364681, -98.649906351343",Central America to US
North Africa,2018,Aug,2.0,Unknown,2,Unknown,2.0,Unknown,Unknown,Sickness and lack of access to medicines,"Sahara desert, Libya","24.312078000000, 13.574271000000",Unknown
US-Mexico Border,2018,Aug,1.0,Unknown,1,Unknown,1.0,Unknown,Unknown,Drowning,Mexico,"27.429079596371, -99.493085820933",Central America to US
North Africa,2018,Aug,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Sickness and lack of access to medicines,"Sahara desert, Libya","23.364317000000, 16.907131000000",Unknown
North Africa,2018,Aug,4.0,Unknown,4,Unknown,2.0,1.0,1.0,Murdered,Libya,"31.986596000000, 20.297225000000",Unknown
Horn of Africa,2018,Aug,2.0,Unknown,2,Unknown,Unknown,2.0,Unknown,Starvation,Somalia,"11.275784000000, 49.121736000000",Unknown
North Africa,2018,Aug,2.0,Unknown,2,Unknown,2.0,Unknown,1.0,Sickness and lack of access to medicines,"Sahara desert, Sudan","19.635357000000, 27.103538000000",Unknown
North Africa,2018,Aug,2.0,Unknown,2,Unknown,Unknown,2.0,1.0,Sickness and lack of access to medicines,"Sahara desert, Libya","21.424415000000, 23.752598000000",Unknown
North Africa,2018,Aug,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Sickness and lack of access to medicines,"Sahara desert, Sudan","18.074280000000, 34.434549000000",Unknown
US-Mexico Border,2018,Aug,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Texas, USA","26.869714700000, -97.698227200000",Central America to US
US-Mexico Border,2018,Aug,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Drowning,"Texas, USA","26.130072391335, -97.914126184131",Central America to US
US-Mexico Border,2018,Aug,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Harsh conditions,"Arizona, USA","32.057701900000, -112.143021500000",Central America to US
North Africa,2018,Aug,1.0,Unknown,1,Unknown,1.0,Unknown,Unknown,Sickness and lack of access to medicines,"Sahara desert, Libya","23.939648000000, 14.483935000000",Unknown
North Africa,2018,Aug,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,"Sahara desert, Libya","24.270603000000, 15.464037000000",Unknown
Horn of Africa,2018,Aug,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Somalia,"9.511606000000, 44.059039000000",Unknown
Sub-Saharan Africa,2018,Aug,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Sickness and lack of access to medicines,Mali,"16.266667000000, -0.050000000000",Unknown
US-Mexico Border,2018,Aug,2.0,Unknown,2,Unknown,Unknown,Unknown,Unknown,Drowning,"Texas, USA","26.230763988792, -98.471871184867",Central America to US
US-Mexico Border,2018,Aug,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Dehydration,"Texas, USA","28.411651400000, -99.812493500000",Central America to US
Horn of Africa,2018,Aug,2.0,Unknown,2,Unknown,Unknown,2.0,Unknown,Murdered,Ethiopia,"3.536064000000, 39.065407000000",Unknown
US-Mexico Border,2018,Aug,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,"California, USA","32.657186887010, -115.607133287960",Central America to US
US-Mexico Border,2018,Aug,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Dehydration,"Texas, USA","28.030813818040, -99.431382996875",Central America to US
US-Mexico Border,2018,Aug,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Mexico,"28.718945659620, -100.507989046310",Central America to US
US-Mexico Border,2018,Aug,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Harsh conditions,"Arizona, USA","31.915967400000, -111.964844100000",Central America to US
US-Mexico Border,2018,Aug,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Texas, USA","28.670797351226, -97.046597961963",Central America to US
US-Mexico Border,2018,Aug,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Drowning,"Texas, USA","26.093725796304, -98.268904886816",Central America to US
US-Mexico Border,2018,Aug,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Drowning,"Texas, USA","26.132538237162, -97.912924554492",Central America to US
Horn of Africa,2018,Aug,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Murdered,Somalia,"3.979193000000, 44.511301000000",Unknown
North Africa,2018,Aug,2.0,Unknown,2,Unknown,1.0,1.0,1.0,Murdered,"Sahara desert, Sudan","18.074280000000, 34.434549000000",Unknown
US-Mexico Border,2018,Aug,1.0,Unknown,1,Unknown,1.0,Unknown,Unknown,Drowning,Mexico,"28.698921580669, -100.511122346290",Central America to US
North Africa,2018,Aug,4.0,Unknown,4,Unknown,1.0,1.0,Unknown,Sickness and lack of access to medicines,"Sahara desert, Libya","23.930733000000, 15.547833000000",Unknown
US-Mexico Border,2018,Aug,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Mexico,"28.712224010642, -100.508598909650",Central America to US
Central America,2018,Aug,3.0,Unknown,3,Unknown,Unknown,Unknown,Unknown,Accident,Mexico,"18.145195500000, -94.424236600000",Unknown
Caribbean,2018,Aug,Unknown,3.0,3,24.0,Unknown,3.0,Unknown,Drowning,Puerto Rico,"18.341129048472, -67.345046302832",Unknown
US-Mexico Border,2018,Aug,1.0,Unknown,1,Unknown,1.0,Unknown,Unknown,Unknown,"Arizona, USA","31.583904100000, -111.754932400000",Central America to US
North Africa,2018,Aug,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Sickness and lack of access to medicines,Libya,"22.187641000000, 23.127265000000",Unknown
North Africa,2018,Aug,1.0,Unknown,1,Unknown,Unknown,1.0,1.0,Sickness and lack of access to medicines,"Sahara desert, Sudan","19.635357000000, 27.103538000000",Unknown
North Africa,2018,Aug,1.0,Unknown,1,Unknown,1.0,Unknown,Unknown,Sickness and lack of access to medicines,Libya,"24.854362000000, 14.589111000000",Unknown
Horn of Africa,2018,Aug,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Sickness and lack of access to medicines,Somalia,"6.770377000000, 47.417650000000",Unknown
US-Mexico Border,2018,Aug,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Sickness and lack of access to medicines,"California, USA","32.545311000000, -117.068314700000",Central America to US
US-Mexico Border,2018,Aug,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Texas, USA","28.741047300000, -100.349789500000",Central America to US
North Africa,2018,Aug,1.0,Unknown,1,Unknown,1.0,Unknown,Unknown,Sickness and lack of access to medicines,Libya,"24.831455000000, 14.584318000000",Unknown
North Africa,2018,Aug,2.0,Unknown,2,Unknown,2.0,Unknown,Unknown,Murdered,"Sahara desert, Sudan","18.074280000000, 34.434549000000",Unknown
North Africa,2018,Aug,2.0,Unknown,2,Unknown,Unknown,2.0,1.0,Accident,Morocco,"34.501136423278, -6.480526609766",Unknown
US-Mexico Border,2018,Aug,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Arizona, USA","32.057701900000, -112.143021500000",Central America to US
Middle East,2018,Aug,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Murdered,Syria,"36.224812500000, 36.502312500000",Unknown
Southeast Asia,2018,Aug,1.0,Unknown,1,Unknown,Unknown,1.0,1.0,Sickness and lack of access to medicines,Myanmar,"19.756363000000, 94.043653000000",Unknown
North Africa,2018,Aug,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Sickness and lack of access to medicines,Libya,"24.913685000000, 14.636498000000",Unknown
North Africa,2018,Aug,2.0,Unknown,2,Unknown,Unknown,2.0,Unknown,Accident,"Sahara desert, Libya","24.526343000000, 14.389110000000",Unknown
North Africa,2018,Aug,1.0,Unknown,1,Unknown,1.0,Unknown,Unknown,Sickness and lack of access to medicines,Libya,"24.911194000000, 14.545869000000",Unknown
North Africa,2018,Aug,1.0,Unknown,1,Unknown,1.0,Unknown,Unknown,Sickness and lack of access to medicines,Libya,"24.856379000000, 14.585691000000",Unknown
Mediterranean,2018,Aug,1.0,1.0,2,66.0,Unknown,1.0,Unknown,Drowning,Spain,"36.689162302075, -2.213042010742",Western Mediterranean
South America,2018,Aug,1.0,Unknown,1,Unknown,1.0,Unknown,1.0,Weather conditions,Colombia,"0.814038400000, -77.664037300000",Unknown
US-Mexico Border,2018,Aug,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","31.786126100000, -111.848343600000",Central America to US
Mediterranean,2018,Aug,1.0,10.0,11,3.0,Unknown,5.0,1.0,Drowning,Morocco,"35.861086013215, -5.167400566797",Western Mediterranean
Mediterranean,2018,Aug,9.0,Unknown,9,4.0,2.0,Unknown,7.0,Drowning,Turkey,"37.843816253407, 27.197843613281",Eastern Mediterranean
Horn of Africa,2018,Aug,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Murdered,"Sahara desert, Sudan","12.953846000000, 36.152215000000",Unknown
Horn of Africa,2018,Aug,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Sickness and lack of access to medicines,Somalia,"9.511606000000, 44.059039000000",Unknown
Central America,2018,Aug,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Mexico,"24.807494638807, -107.408366459000",Unknown
South America,2018,Aug,3.0,Unknown,3,14.0,Unknown,Unknown,Unknown,Weather conditions,Colombia,"7.188704860106, -72.883729153442",Unknown
US-Mexico Border,2018,Aug,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","32.087759600000, -112.905880200000",Central America to US
US-Mexico Border,2018,Aug,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,"Texas, USA","29.265025644611, -103.782587148190",Unknown
North Africa,2018,Aug,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Sickness and lack of access to medicines,"Sahara desert, Libya","23.620714000000, 21.733862000000",Unknown
Mediterranean,2018,Aug,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Drowning,Turkey,"36.104543591175, 30.033897823613",Eastern Mediterranean
Mediterranean,2018,Aug,1.0,Unknown,1,Unknown,1.0,Unknown,Unknown,Drowning,Spain,"36.153127985126, -6.069267257422",Western Mediterranean
US-Mexico Border,2018,Aug,1.0,Unknown,1,Unknown,1.0,Unknown,Unknown,Unknown,"Arizona, USA","31.969853700000, -111.427588800000",Central America to US
Central America,2018,Aug,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Mexico,"25.449288300000, -102.174707700000",Unknown
North Africa,2018,Aug,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Murdered,"Sahara desert, Libya","26.085045000000, 14.129459000000",Unknown
North Africa,2018,Aug,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Sickness and lack of access to medicines,"Sahara desert, Sudan","20.558616000000, 24.974334000000",Unknown
North Africa,2018,Aug,2.0,Unknown,2,Unknown,1.0,1.0,1.0,Murdered,"Sahara desert, Sudan","19.635357000000, 27.103538000000",Unknown
Sub-Saharan Africa,2018,Aug,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Sickness and lack of access to medicines,Mali,"12.639167000000, -8.002778000000",Unknown
US-Mexico Border,2018,Aug,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Weather conditions,"California, USA","32.674254592732, -115.417450444980",Central America to US
Central America,2018,Aug,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Mexico,"19.409854604918, -98.094324519080",Central America to US
US-Mexico Border,2018,Aug,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Arizona, USA","31.689844600000, -111.165268700000",Central America to US
US-Mexico Border,2018,Aug,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,"Arizona, USA","31.382007000000, -110.076391000000",Central America to US
North Africa,2018,Aug,2.0,Unknown,2,Unknown,2.0,Unknown,Unknown,Sickness and lack of access to medicines,"Sahara desert, Libya","25.038424000000, 14.133983000000",Unknown
Sub-Saharan Africa,2018,Aug,2.0,Unknown,2,Unknown,Unknown,2.0,2.0,Accident,Mali,"10.487500000000, -5.653611000000",Unknown
Central America,2018,Aug,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Mexico,"23.127888900000, -101.113615300000",Unknown
North Africa,2018,Aug,1.0,Unknown,1,Unknown,1.0,Unknown,Unknown,Murdered,Libya,"26.997655000000, 14.295703000000",Unknown
North Africa,2018,Aug,1.0,Unknown,1,Unknown,Unknown,1.0,1.0,Sickness and lack of access to medicines,"Sahara desert, Sudan","18.074280000000, 34.434549000000",Unknown
Sub-Saharan Africa,2018,Aug,1.0,Unknown,1,Unknown,1.0,Unknown,Unknown,Unknown,Burkina Faso,"12.483333000000, 1.516667000000",Unknown
US-Mexico Border,2018,Aug,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Harsh conditions,"Arizona, USA","32.393510600000, -112.848571900000",Central America to US
Middle East,2018,Aug,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Murdered,Syria,"35.954302109932, 36.213616046310",Unknown
Horn of Africa,2018,Aug,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Murdered,Somalia,"9.949495000000, 44.696042000000",Unknown
Sub-Saharan Africa,2018,Aug,1.0,Unknown,1,Unknown,Unknown,1.0,1.0,Sickness and lack of access to medicines,Niger,"13.805278000000, 8.988333000000",Unknown
Sub-Saharan Africa,2018,Aug,2.0,Unknown,2,Unknown,Unknown,2.0,2.0,Accident,Mali,"14.063889000000, -3.075278000000",Unknown
South Asia,2018,Aug,5.0,Unknown,5,15.0,Unknown,Unknown,Unknown,Accident,Iran,"28.008390523867, 61.442049867502",Unknown
US-Mexico Border,2018,Aug,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Harsh conditions,"Arizona, USA","32.057701900000, -112.143021500000",Central America to US
Middle East,2018,Aug,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Murdered,Syria,"35.950863086162, 36.284708065714",Unknown
North Africa,2018,Aug,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Sickness and lack of access to medicines,"Sahara desert, Libya","25.259769000000, 14.170818000000",Unknown
Horn of Africa,2018,Aug,3.0,Unknown,3,Unknown,1.0,1.0,1.0,Sickness and lack of access to medicines,Ethiopia,"8.366220000000, 39.466646000000",Unknown
Sub-Saharan Africa,2018,Aug,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Burkina Faso,"12.483333000000, 1.516667000000",Unknown
Europe,2018,Aug,2.0,Unknown,2,Unknown,Unknown,Unknown,Unknown,Murdered,Serbia,"44.974449704770, 19.920842263477",Unknown
US-Mexico Border,2018,Aug,38.0,Unknown,38,Unknown,Unknown,Unknown,Unknown,Mixed,"Texas, USA","27.817448700000, -99.012892600000",Central America to US
US-Mexico Border,2018,Aug,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Harsh conditions,"Arizona, USA","31.934973186308, -112.840707577590",Central America to US
North Africa,2018,Aug,2.0,Unknown,2,Unknown,Unknown,2.0,Unknown,Sickness and lack of access to medicines,"Sahara desert, Libya","23.092959000000, 22.659192000000",Unknown
North Africa,2018,Aug,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,Libya,"29.625085000000, 20.386066000000",Unknown
Sub-Saharan Africa,2018,Aug,1.0,Unknown,1,Unknown,1.0,Unknown,Unknown,Sickness and lack of access to medicines,Burkina Faso,"11.183333000000, -4.283333000000",Unknown
US-Mexico Border,2018,Jul,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Texas, USA","26.154179363538, -98.178919002675",Central America to US
North Africa,2018,Jul,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,"Sahara desert, Libya","21.143170000000, 23.823002000000",Unknown
Horn of Africa,2018,Jul,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Sickness and lack of access to medicines,Somalia,"9.511606000000, 44.059039000000",Unknown
Sub-Saharan Africa,2018,Jul,2.0,Unknown,2,Unknown,Unknown,2.0,Unknown,Accident,Mali,"10.487500000000, -5.653611000000",Unknown
US-Mexico Border,2018,Jul,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,"California, USA","32.659093625805, -115.590240735580",Central America to US
Mediterranean,2018,Jul,1.0,Unknown,1,2.0,Unknown,1.0,Unknown,Drowning,Morocco,"35.839071004483, -5.940122119141",Western Mediterranean
US-Mexico Border,2018,Jul,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,"Texas, USA","31.583636465275, -106.226848566690",Central America to US
US-Mexico Border,2018,Jul,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","32.124401300000, -111.722357500000",Central America to US
US-Mexico Border,2018,Jul,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","31.983870900000, -112.821941900000",Central America to US
North Africa,2018,Jul,3.0,Unknown,3,Unknown,Unknown,3.0,Unknown,Unknown,Libya,"29.801950923564, 24.172143055078",Unknown
North Africa,2018,Jul,2.0,Unknown,2,Unknown,1.0,1.0,1.0,Sickness and lack of access to medicines,"Sahara desert, Libya","25.607538000000, 13.911151000000",Unknown
Horn of Africa,2018,Jul,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Murdered,Ethiopia,"3.536064000000, 39.065407000000",Unknown
North Africa,2018,Jul,2.0,Unknown,2,Unknown,Unknown,2.0,Unknown,Starvation,"Sahara desert, Sudan","29.129900000000, 20.360782000000",Unknown
Horn of Africa,2018,Jul,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Sickness and lack of access to medicines,Somalia,"-0.310591000000, 42.396130000000",Unknown
North Africa,2018,Jul,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Sickness and lack of access to medicines,Libya,"31.723048000000, 14.025968000000",Unknown
Sub-Saharan Africa,2018,Jul,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Sickness and lack of access to medicines,Burkina Faso,"12.483333000000, 1.516667000000",Unknown
Mediterranean,2018,Jul,6.0,Unknown,6,10.0,2.0,1.0,3.0,Drowning,"Lesvos, Greece","39.253815876194, 26.570164099609",Eastern Mediterranean
Europe,2018,Jul,1.0,Unknown,1,Unknown,Unknown,1.0,1.0,Drowning,Greece,"40.914511355632, 26.260509666650",Unknown
North Africa,2018,Jul,1.0,Unknown,1,Unknown,1.0,Unknown,1.0,Sickness and lack of access to medicines,"Sahara desert, Sudan","20.610678000000, 27.916851000000",Unknown
North Africa,2018,Jul,1.0,Unknown,1,Unknown,1.0,Unknown,Unknown,Sickness and lack of access to medicines,"Sahara desert, Sudan","12.953846000000, 36.152215000000",Unknown
North Africa,2018,Jul,2.0,Unknown,2,Unknown,1.0,1.0,Unknown,Sickness and lack of access to medicines,"Sahara desert, Sudan","21.818949000000, 31.378376000000",Unknown
Middle East,2018,Jul,6.0,Unknown,6,Unknown,Unknown,Unknown,Unknown,Weather conditions,Yemen,"16.583541937366, 42.850998310625",Unknown
Middle East,2018,Jul,2.0,Unknown,2,Unknown,Unknown,Unknown,Unknown,Murdered,Syria,"36.037415054876, 36.381528766656",Unknown
North Africa,2018,Jul,1.0,Unknown,1,Unknown,1.0,Unknown,Unknown,Sickness and lack of access to medicines,"Sahara desert, Sudan","20.610678000000, 27.916851000000",Unknown
North Africa,2018,Jul,1.0,Unknown,1,Unknown,1.0,Unknown,Unknown,Murdered,"Sahara desert, Sudan","18.074280000000, 34.434549000000",Unknown
Horn of Africa,2018,Jul,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Murdered,Ethiopia,"5.321172000000, 39.569408000000",Unknown
Sub-Saharan Africa,2018,Jul,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Mali,"13.450000000000, -6.266667000000",Unknown
US-Mexico Border,2018,Jul,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,"California, USA","32.712646766604, -114.943023871160",Central America to US
North Africa,2018,Jul,3.0,Unknown,3,Unknown,Unknown,Unknown,Unknown,Dehydration,"Sahara desert, Libya","21.452060000000, 24.135751000000",Unknown
Horn of Africa,2018,Jul,1.0,Unknown,1,Unknown,1.0,Unknown,Unknown,Sickness and lack of access to medicines,Somalia,"0.345906000000, 40.882634000000",Unknown
US-Mexico Border,2018,Jul,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Texas, USA","27.018368739267, -98.326540369141",Central America to US
North Africa,2018,Jul,1.0,Unknown,1,Unknown,1.0,Unknown,1.0,Sickness and lack of access to medicines,"Sahara desert, Sudan","20.610678000000, 27.916851000000",Unknown
North Africa,2018,Jul,1.0,Unknown,1,Unknown,1.0,Unknown,Unknown,Murdered,"Sahara desert, Sudan","19.635357000000, 27.103538000000",Unknown
