index,Region of Incident,Reported Year,Reported Month,Number Dead,Minimum Estimated Number of Missing,Total Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death,Location Description,Location Coordinates,Migration Route,latitud,longitud,temperatureMax,temperatureMin,uvIndex
91,South America,2019,Jan,19.0,5.0,24,8.0,Unknown,Unknown,10.0,Drowning,Colombia,"8.641338758453, -77.330689179762",Unknown,8.641338758453,-77.330689179762,66.57,44.43,5
92,US-Mexico Border,2019,Jan,3.0,Unknown,3,Unknown,Unknown,3.0,Unknown,Drowning,Mexico,"27.345466202071, -99.506891221976",Central America to US,27.345466202071,-99.506891221976,60.59,48.55,6
93,Central America,2019,Jan,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Mexico,"25.286312500000, -101.281562500000",Unknown,25.2863125,-101.2815625,45.24,29.47,4
94,US-Mexico Border,2019,Jan,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Mexico,"26.143064684377, -98.330164834268",Unknown,26.143064684377,-98.330164834268,60.24,47.45,6
95,US-Mexico Border,2019,Jan,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","31.691203800000, -110.461623900000",Unknown,31.6912038,-110.4616239,64.63,43.72,3
96,US-Mexico Border,2019,Jan,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Mexico,"26.217242152142, -98.455393500959",Unknown,26.217242152142,-98.455393500959,53.53,31.67,4
97,Mediterranean,2019,Jan,1.0,Unknown,1,2.0,Unknown,1.0,Unknown,Drowning,Algeria,"35.384524413151, -1.278253990517",Western Mediterranean,35.384524413151,-1.278253990517,73.7,47.66,7
98,US-Mexico Border,2019,Jan,2.0,Unknown,2,Unknown,1.0,1.0,1.0,Accident,Mexico,"31.667101100000, -106.426767800000",Unknown,31.6671011,-106.4267678,48.07,27.93,4
99,Central America,2019,Jan,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Mexico,"19.705606860591, -99.174764262762",Unknown,19.705606860591,-99.174764262762,63.03,39.63,4
100,US-Mexico Border,2019,Jan,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Arizona, USA","31.365435700000, -110.106236400000",Unknown,31.3654357,-110.1062364,61.55,49.53,3
102,US-Mexico Border,2019,Jan,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Mexico,"27.496386435717, -99.522521470236",Unknown,27.496386435717,-99.522521470236,58.31,54.01,2
103,Mediterranean,2019,Jan,1.0,Unknown,1,Unknown,1.0,Unknown,Unknown,Drowning,Algeria,"36.334378214124, 0.715927412066",Western Mediterranean,36.334378214124,0.715927412066,85.08,65.21,6
104,Mediterranean,2019,Jan,1.0,Unknown,1,106.0,Unknown,1.0,1.0,Unknown,Libya,"32.638272650604, 14.273579120636",Central Mediterranean,32.638272650604,14.273579120636,64.28,45.82,3
105,Central America,2019,Jan,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Mexico,"17.932600658549, -94.905738830566",Unknown,17.932600658549,-94.905738830566,59.21,54.79,2
106,Mediterranean,2019,Jan,1.0,Unknown,1,2.0,Unknown,1.0,Unknown,Drowning,Algeria,"35.398647116844, -1.389655987849",Western Mediterranean,35.398647116844,-1.389655987849,51.15,30.72,3
107,Mediterranean,2019,Jan,Unknown,1.0,1,106.0,Unknown,1.0,Unknown,Drowning,Libya,"32.747691895753, 14.355331747358",Central Mediterranean,32.747691895753,14.355331747358,51.15,30.72,3
108,US-Mexico Border,2019,Jan,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","32.057499000000, -111.666072500000",Unknown,32.057499,-111.6660725,51.15,30.72,3
109,US-Mexico Border,2019,Jan,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","32.057499000000, -111.666072500000",Unknown,32.057499,-111.6660725,51.15,30.72,3
110,US-Mexico Border,2019,Jan,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","32.057499000000, -111.666072500000",Unknown,32.057499,-111.6660725,51.15,30.72,3
111,US-Mexico Border,2019,Jan,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","32.057499000000, -111.666072500000",Unknown,32.057499,-111.6660725,59.27,54.49,2
112,US-Mexico Border,2019,Jan,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","32.057499000000, -111.666072500000",Unknown,32.057499,-111.6660725,51.15,30.72,3
113,Mediterranean,2019,Jan,2.0,Unknown,2,141.0,Unknown,Unknown,Unknown,Drowning,Libya,"32.980238100921, 13.179283824044",Central Mediterranean,32.980238100921,13.179283824044,58.4,54.8,2
114,US-Mexico Border,2019,Jan,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","32.057499000000, -111.666072500000",Unknown,32.057499,-111.6660725,56.47,49.67,2
115,Mediterranean,2019,Jan,Unknown,117.0,117,3.0,10.0,Unknown,2.0,Drowning,Libya,"34.177488404634, 14.107902221177",Central Mediterranean,34.177488404634,14.107902221177,61.98,51.41,3
116,Mediterranean,2019,Jan,1.0,Unknown,1,53.0,Unknown,1.0,Unknown,Drowning,Greece,"37.283283323213, 27.104012036372",Eastern Mediterranean,37.283283323213,27.104012036372,52.02,33.81,3
117,Mediterranean,2019,Jan,Unknown,53.0,53,1.0,Unknown,Unknown,Unknown,Drowning,Spain,"35.683709040408, -3.185250605342",Western Mediterranean,35.683709040408,-3.185250605342,52.51,32.45,3
118,US-Mexico Border,2019,Jan,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","32.481200700000, -111.667840700000",Unknown,32.4812007,-111.6678407,59.57,46.54,5
119,US-Mexico Border,2019,Jan,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Dehydration,"Arizona, USA","31.746892100000, -111.945738600000",Unknown,31.7468921,-111.9457386,67.96,34.07,5
120,US-Mexico Border,2019,Jan,Unknown,1.0,1,Unknown,Unknown,1.0,Unknown,Drowning,Mexico,"26.258109878807, -98.596733869797",Unknown,26.258109878807,-98.596733869797,62.9,45.78,3
121,US-Mexico Border,2019,Jan,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Mexico,"29.063937500000, -100.663562500000",Unknown,29.0639375,-100.6635625,83.14,68.38,7
122,Mediterranean,2019,Jan,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Spain,"35.289594291265, -2.933496506173",Western Mediterranean,35.289594291265,-2.933496506173,62.9,39.67,4
123,Central America,2019,Jan,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Murdered,Mexico,"19.178049100000, -96.128842600000",Unknown,19.1780491,-96.1288426,46.19,36.94,1
124,US-Mexico Border,2019,Jan,Unknown,2.0,2,Unknown,Unknown,Unknown,Unknown,Drowning,Mexico,"27.478392338088, -99.479276945846",Unknown,27.478392338088,-99.479276945846,51.15,30.72,3
125,Middle East,2019,Jan,3.0,Unknown,3,Unknown,Unknown,3.0,Unknown,Drowning,Greece,"40.942167951616, 26.352665973258",Unknown,40.942167951616,26.352665973258,57.11,54.56,3
126,US-Mexico Border,2019,Jan,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","32.057499000000, -111.666072500000",Unknown,32.057499,-111.6660725,49.71,44.65,2
127,Mediterranean,2019,Jan,10.0,Unknown,10,Unknown,Unknown,Unknown,Unknown,Drowning,Libya,"31.210755489725, 16.588350626388",Central Mediterranean,31.210755489725,16.588350626388,68.54,36.42,5
128,Mediterranean,2019,Jan,1.0,Unknown,1,40.0,1.0,Unknown,1.0,Unknown,Turkey,"37.857359600378, 27.167936354123",Eastern Mediterranean,37.857359600378,27.167936354123,66.95,47.09,5
129,US-Mexico Border,2019,Jan,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Murdered,Mexico,"28.730727706150, -100.563445215960",Unknown,28.73072770615,-100.56344521596,57.62,54.79,3
130,Central America,2019,Jan,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Mexico,"25.438323400000, -100.973678000000",Unknown,25.4383234,-100.973678,86.31,70.33,7
131,Mediterranean,2019,Jan,5.0,Unknown,5,Unknown,Unknown,Unknown,Unknown,Drowning,Libya,"31.220020736471, 16.567751261154",Central Mediterranean,31.220020736471,16.567751261154,62.02,45.76,3
132,Central America,2019,Jan,1.0,Unknown,1,100.0,Unknown,1.0,Unknown,Accident,Mexico,"18.329901676413, -95.812964294797",Unknown,18.329901676413,-95.812964294797,49.35,45.14,1
133,Mediterranean,2019,Jan,1.0,Unknown,1,6.0,1.0,Unknown,Unknown,Drowning,Morocco,"35.261606842877, -2.901902411860",Western Mediterranean,35.261606842877,-2.90190241186,57.64,54.8,3
134,Europe,2019,Jan,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,France,"49.232567558821, -0.290652339042",Unknown,49.232567558821,-0.290652339042,51.15,30.72,3
135,Mediterranean,2019,Jan,2.0,Unknown,2,Unknown,Unknown,Unknown,Unknown,Drowning,Libya,"31.224587793151, 16.529299112716",Central Mediterranean,31.224587793151,16.529299112716,62.24,48.47,3
136,US-Mexico Border,2019,Jan,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","32.057499000000, -111.666072500000",Central America to US,32.057499,-111.6660725,65.06,43.68,2
137,Mediterranean,2019,Jan,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Spain,"36.685755388762, -2.777835705707",Western Mediterranean,36.685755388762,-2.777835705707,77.38,53.66,9
138,Mediterranean,2019,Jan,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Spain,"36.485367400000, -4.738263000000",Western Mediterranean,36.4853674,-4.738263,61.27,60.3,3
139,South America,2019,Jan,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Dehydration,Colombia,"2.352686000000, -76.683352000000",Unknown,2.352686,-76.683352,66.24,51.44,2
140,Mediterranean,2019,Jan,1.0,Unknown,1,67.0,Unknown,Unknown,Unknown,Drowning,Spain,"35.886028764776, -3.811126192952",Western Mediterranean,35.886028764776,-3.811126192952,64.31,45.71,4
